job_title,paylab_category,min_salary_lkr,avg_salary_lkr,max_salary_lkr,description,source
IT Consultant,Information Technology,55647,178188,300730,"Co-operation during the analysis of the customers’ needs. Creating functional and technical specifications and participation in the development of products. Product testing, supporting, and maintaining the product in operation.",paylab.com
iOS Developer,Information Technology,69334,174811,280288,"Designing and developing applications for the iOS platform. Collaborating with cross-functional teams to define, design, and ship new features. Writing clean, maintainable, and efficient code using Swift and Objective-C.",paylab.com
HR Manager,Management,53554,172223,290893,"Managing the personnel department in the company. Recruiting and dismissing employees. Completing organisation and working regulations, remuneration system, job descriptions, and their submission to the superior.",paylab.com
Head of controlling,Management,68910,169297,269685,"Management and development of the controlling team. Ensuring accurate and timely reporting, analysis and financial forecasts. Compiling budgets and plans and monitoring their fulfillment.",paylab.com
IFRS specialist,Economy Finance Accountancy,75610,168404,261199,"Responsibility for reporting according to international standards Ensuring monthly closings (including IFRS, etc.); initiation of measures to optimize closing processes across departments Processing of consolidated financial statements or preparation of documents for consolidation (including IFRS, etc.)",paylab.com
Regulatory Affairs Manager,Medicine Social Care,127104,167763,208422,"Preparing, submitting, and implementing registration documents of pharmaceutical products. Ensuring the correct translation and comprehensibility of technical texts shown on the packaging and package inserts of medicines. Negotiation with the company’s internal clients.",paylab.com
Java Programmer,Information Technology,65917,166055,266193,"Developing computer applications, mobile phone applications, and websites in the Java programming language. Analysing customer requirements and assessing the potential risks and related technical issues. Participating in the creation of technical specifications.",paylab.com
SAP specialist,Information Technology,60821,165879,270938,"Provide adequate user support, receive and resolve bug reports and problems. Monitor the system and take measures to ensure trouble-free operation. Manage assigned modules according to agreed internal standards.",paylab.com
Android Developer,Information Technology,64843,165512,266182,"Developing and maintaining mobile applications for the Android platform. Collaborating with cross-functional teams to define, design, and ship new features. Ensuring the performance, quality, and responsiveness of applications.",paylab.com
Scrum Master,Information Technology,76166,164634,253103,"Manages the scope and timeline of each project. Coordinate sprints, retrospectives and daily stand-ups. Facilitates internal communication and effective team collaboration.",paylab.com
IT tester - automated tests,Information Technology,58966,162420,265874,"Participation in the selection and development of tools for automated testing while using state-of-the-art technologies in automation testing. Co-operation with the development department on identifying potential areas for automated testing, on implementing tools and scripts, and on linking with continuous integration tools and with reporting tools. Creating and maintaining automated testing scripts, running them, analysing their results, and troubleshooting.",paylab.com
Objective-C Programmer,Information Technology,64147,162107,260067,"Developing mobile applications for the iOS platform and for devices with the iOS operating system (iPhone, iPad etc.). Analysing customer requirements and assessing the potential risks and related technical issues. Participating in the creation of technical specifications.",paylab.com
Professor,Education Science Research,116707,161702,206698,"Delivering high-quality instruction in specialized subject areas at the undergraduate and graduate levels. Developing and implementing innovative curriculum and instructional materials that enhance student learning. Engaging in scholarly research, publishing findings in reputable academic journals, and presenting at conferences.",paylab.com
Testing manager,Management,63575,159810,256046,"Overseeing the testing process for software and systems to ensure quality and performance. Developing and implementing testing strategies, plans, and procedures. Coordinating with cross-functional teams to define testing requirements and objectives.",paylab.com
Regional / Area Manager,Management,54534,159359,264184,management of activities at regional / provincial level management and control of offices in the entrusted region planning business strategies of the company,paylab.com
IT Security Specialist,Information Technology,61488,159034,256581,"Designing, developing and updating the security policies of the company in the area of information technology. Ensuring the operation and configuration of security systems. Testing and analysing the level of protection of information systems.",paylab.com
ABAP Programmer,Information Technology,62145,157176,252208,Developing complex computer applications and/or separate modules in the ABAP programming language. Analysing customer requirements and assessing the potential risks and related technical issues. Participating in the creation of technical specifications.,paylab.com
Business Development Manager,Management,64843,156464,248085,"Develop and implement strategic business development plans to achieve company goals. Identify and pursue new business opportunities through market research and networking. Build and maintain strong relationships with clients, partners, and stakeholders.",paylab.com
Project Manager,Management,49334,155989,262644,Responsibility for project management from start to finish. Defining project goals based on company requirements. Completing a comprehensive work schedule.,paylab.com
Product owner,Management,67993,153632,239272,"Strategy and Vision: Develop and communicate a clear product vision and strategy to the development team, stakeholders, and senior management. Product Backlog Management: Create, prioritize, and manage the product backlog, ensuring that it is well-groomed, refined, and ready for development. Requirement Gathering: Collaborate with stakeholders, customers, and users to understand their needs and gather requirements, translating them into clear user stories and acceptance criteria.",paylab.com
C++ Programmer,Information Technology,62449,151461,240474,Developing computer and mobile applications in the C++ programming language. Analysing customer requirements and assessing the potential risks and related technical issues. Participating in the creation of technical specifications.,paylab.com
IT Tester,Information Technology,68280,150838,233396,"Responsibility for the testing of software applications with an emphasis on detecting errors in terms of functionality, usability, and safety of software. Designing the baseline testing strategy. Creating testing scenarios depending on the method of testing being applied.",paylab.com
Oracle Programmer,Information Technology,59335,150548,241762,Developing computer applications and connecting them with the Oracle database system. Analysing customer requirements and assessing the potential risks and related technical issues. Participating in the creation of technical specifications.,paylab.com
Account Director,Management,60323,150019,239716,Providing comprehensive care to key clients. Attending personal meetings in order to identify the concepts and requirements of key clients. Presenting the advertising agency and services it offers.,paylab.com
Product Marketing Manager,Medicine Social Care,85805,148400,210995,"Develop and implement effective marketing strategies for healthcare products and services. Conduct market research to identify customer needs, preferences, and trends within the healthcare sector. Collaborate with cross-functional teams, including sales, product development, and customer service, to ensure alignment of marketing initiatives.",paylab.com
Data scientist,Information Technology,62283,147968,233654,"Communication with the customer (internal customer), communication with the data architect, data analysts, programmers Collection of structured and unstructured data, data preparation Data analysis, machine learning, data transformation, predictive modeling, data visualization, text mining, NLP",paylab.com
Quality Manager,Management,54001,146450,238899,"Developing, implementing and maintaining processes relating to quality management. Checking incoming raw materials and semifinished products. Final inspection of products.",paylab.com
Perl Programmer,Information Technology,58737,145595,232454,Developing computer applications in the Perl programming language. Analysing customer requirements and assessing the potential risks and related technical issues. Participating in the creation of technical specifications.,paylab.com
.NET Programmer,Information Technology,57012,145441,233871,Developing websites in the .NET environment. Analysing customer requirements and assessing the potential risks and related technical issues. Participating in the creation of technical specifications.,paylab.com
Business Group Manager,Management,57661,145281,232901,"Seeking out, selecting, and training new sales team members. Leading and motivating the team members. Reviewing the activities of the team members in order to detect and draw attention to any shortcomings.",paylab.com
Branch Director,Commerce,78915,144936,210958,"Oversee the daily operations and overall performance of the branch, ensuring alignment with company goals and objectives. Develop and implement strategic plans to drive business growth, profitability, and customer satisfaction. Lead, mentor, and manage a team of employees, fostering a positive and productive work environment.",paylab.com
Frontend developer,Information Technology,52100,144050,236000,"Developing user-friendly web applications and interfaces using HTML, CSS, and JavaScript. Collaborating with designers to translate UI/UX wireframes into responsive and interactive web applications. Ensuring high performance and responsiveness of applications across various devices and browsers.",paylab.com
ESG manager,Management,61521,143689,225857,"Development and implementation of sustainability and ESG (Environmental, Social, Governance) strategies. Monitoring and reporting ESG data and metrics. Providing advice to management on ESG and sustainability issues.",paylab.com
Risk Manager,Management,78604,143538,208473,Identifying risks associated with the company's business activity. Drawing up a risk management strategy. Setting the methodology and processes focused on the control and management of risks.,paylab.com
Accounting service manager,Economy Finance Accountancy,54175,142625,231075,"Manage the team on a day-to-day basis and to develop and maintain strong external and internal client relationships. Manage portfolios of clients and are responsible for fee negotiations, billings, contracts and cash collection. For each assignment, the accounting services manager determines resource requirements, monitors the team’s progress against budget and sets timeframes.",paylab.com
Software consultant,Information Technology,61428,142093,222758,Consulting during the introduction of new information systems. Expert support for business partners. Participation in creating SW products according to the specific requirements of customers.,paylab.com
Technical Manager,Management,54956,141791,228627,"Lead and manage the technical team to deliver high-quality projects within established timelines. Collaborate with cross-functional teams to align technical solutions with business objectives. Oversee the design, implementation, and maintenance of technical systems and infrastructure.",paylab.com
Programmer,Information Technology,59704,141333,222963,"Developing computer applications, mobile phone applications, and websites in various programming languages. Analysis of customer requirements, assessment of potential risks and related technical issues. Participation in the creation of technical specifications.",paylab.com
Backend developer,Information Technology,53765,141081,228398,Developing and maintaining server-side applications and services to ensure optimal performance and reliability. Collaborating with front-end developers to integrate user-facing elements with server-side logic. Designing and implementing application programming interfaces (APIs) for seamless data communication.,paylab.com
C Programmer,Information Technology,60377,140943,221509,Developing computer and mobile applications in the C programming language. Analysing customer requirements and assessing the potential risks and related technical issues. Participating in the creation of technical specifications.,paylab.com
Business Analyst,Commerce,64126,140229,216333,Gathering information about the market and analysing the needs of customers. Reporting analysis results to your superior. Defining the fields of prospective production and business activities on the basis of market research.,paylab.com
Project Manager,Construction Real Estate,51311,137341,223371,"Planning, managing, and coordinating construction projects. Responsibility for compliance with the agreed deadlines and budget. Inspecting the quality of completed work.",paylab.com
Business Intelligence Specialist,Information Technology,57776,134202,210628,"Analysis of requirements and counselling at setting reports and analysis Data mining. Creating data models, reports, analysis, what-if models, dashboards.",paylab.com
Javascript Programmer,Information Technology,55805,134125,212446,"Developing and maintaining web applications using JavaScript and related frameworks. Collaborating with front-end and back-end developers to create seamless user experiences. Writing clean, efficient, and well-documented code to ensure high-quality software.",paylab.com
Python Programmer,Information Technology,53688,130130,206573,"Developing computer, mobile, and Internet applications in the Python programming language. Analysing customer requirements and assessing the potential risks and related technical issues. Participating in the creation of technical specifications.",paylab.com
C# Programmer,Information Technology,57142,129975,202808,Developing computer and mobile applications in the C# programming language. Analysing customer requirements and assessing the potential risks and related technical issues. Participating in the creation of technical specifications.,paylab.com
Mechanization Manager,Mechanical Engineering,65337,128984,192631,"Develop concepts, processes and work methods and processes to support business and growth requirements. Manage and direct all automation projects utilizing sound project management principles and tools. Analyze and develop engineered standards utilizing time and motion studies, statistical analysis and manpower planning tools to improve productivity, accuracy and service level.",paylab.com
Call Centre Manager,Management,50218,128490,206762,"Responsibility for recruiting and selecting new employees. Scheduling work shifts of supervisors and call centre operators. Managing, coordinating, checking and motivating subordinate employees.",paylab.com
Tax Advisor,Economy Finance Accountancy,61150,128394,195638,"Providing advice in matters of taxes, levies, fees, tax proceedings of tax authorities and municipal authorities. Completing expert opinions, instructions and recommendations. Completing, verifying and checking the tax returns.",paylab.com
Production Manager,Management,52469,126582,200695,"Planning, managing and coordinating the existing production, production processes and capacities. Responsibility for creating production plans, budgets and production analysis. Implementing improvements and optimising resource utilisation.",paylab.com
Consultant,Economy Finance Accountancy,54006,125759,197512,Analyzing customer needs and developing and presenting solution suggestions. Performing customer/user training. Analyzing legislative changes.,paylab.com
Game developer,Information Technology,61840,125385,188931,Creating games according to game design documents Programming of game mechanisms Creating extensions in specialized platforms and tools for the needs of game designers,paylab.com
Customer Relationship Manager,Commerce,70619,124402,178185,"Leadership over the key account department. Proactively leads the business’s strategic account planning processes and develops performance objectives, sales targets, and critical milestones for weekly/monthly/annual periods. Leads the department in assessing, clarifying, and validating consumer needs on a regular basis.",paylab.com
Department Manager,Management,50912,123944,196977,"Ensuring the smooth running of the department within the company. Managing, coordinating, motivating and evaluating subordinate staff. Training of new recruits.",paylab.com
College lector,Education Science Research,90748,123548,156348,"Delivering high-quality instruction in assigned subjects at the college level. Developing and implementing engaging curriculum and lesson plans tailored to diverse learning styles. Assessing student performance through assignments, exams, and projects, providing timely feedback to foster academic growth.",paylab.com
PHP Programmer,Information Technology,58720,123343,187967,Developing websites in the PHP programming language. Analysing customer requirements and assessing the potential risks and related technical issues. Participating in the creation of technical specifications.,paylab.com
Brand Manager,Management,65600,123092,180585,"Responsibility for the management of assigned brands. Monitoring the market, consumer preferences and competitive activities. Designing and implementing the brand marketing strategy.",paylab.com
ASP.NET Programmer,Information Technology,54893,122199,189506,Developing websites in the ASP.NET environment. Analysing customer requirements and assessing the potential risks and related technical issues. Participating in the creation of technical specifications.,paylab.com
Clinical Research Associate,Medicine Social Care,73643,122199,170756,"Conducting monitoring visits to clinical trial sites to ensure compliance with study protocols, regulatory requirements, and Good Clinical Practice (GCP). Reviewing and verifying study documentation including informed consent forms, source documents, and case report forms. Collaborating with site staff to facilitate the smooth execution of clinical trials.",paylab.com
Process Manager,Management,49937,122087,194238,Oversee and optimize organizational processes to enhance efficiency and productivity. Analyze current operational procedures to identify areas for improvement. Develop and implement strategies to streamline processes and reduce costs.,paylab.com
Microcontroller programmer,Information Technology,56018,121434,186850,"Develop and implement software solutions for microcontroller-based systems. Write, test, and debug code for microcontroller applications in various programming languages. Collaborate with hardware engineers to integrate software with hardware components.",paylab.com
IT Analyst,Information Technology,56729,120981,185234,"Communication with managers, familiarisation with the goals of the future system and budget. Communication with future system users, identification of their needs. Proposal and composition of computer systems based on manager and user requirements.",paylab.com
Purchasing Manager,Management,45990,120980,195971,"Being in charge of the purchase of material, goods and services in the company. Leading, motivating and assessing the team of subordinate employees. Monitoring and keeping an optimal state of supplies in store.",paylab.com
Mechanical Engineer,Mechanical Engineering,58128,120847,183567,"Designing components, machinery, equipment, automated equipment, tools and systems with the use of specialised software. Communicating with clients with the aim to determine their needs. Completing analyses and cost estimation.",paylab.com
Financial Markets Specialist,Economy Finance Accountancy,59900,120642,181385,"Finding and contacting potential clients. Communicating with clients to determine their needs, expectations, and financial possibilities. Monitoring the development of commodity prices on world markets.",paylab.com
Digital marketing manager,Marketing Advertising PR,53567,120573,187579,"Development, planning and implementation of a digital marketing strategy Development and management of own and paid digital communication channels Raising brand awareness, number of visitors and visibility on targeted social media and channels",paylab.com
Department Manager,Human Resources,69391,119637,169883,"Overseeing the daily operations of the department to ensure efficiency and productivity. Developing and implementing departmental strategies and goals aligned with the organization's objectives. Leading, mentoring, and managing a team of employees, fostering a positive and collaborative work environment.",paylab.com
R programmer,Information Technology,57021,118974,180928,Developing and maintaining statistical software and tools using R programming language. Analyzing complex datasets to extract meaningful insights and drive data-informed decision-making. Collaborating with cross-functional teams to understand data requirements and deliver actionable solutions.,paylab.com
Team leader,Management,49207,118896,188585,Conducting a smaller group of workers Planning and distribution of work among individual members of the team Controlling workers,paylab.com
Logistics Manager,Management,53070,118854,184639,"Managing, monitoring, and optimising the logistics indicators and flows in the company. Managing, monitoring, motivating, and assessing subordinate employees. Selecting and assessing the providers of logistics services and communicating with them and negotiating the optimal contract conditions.",paylab.com
HR Business Partner,Human Resources,66883,118620,170357,"Making up a concept of employees' training, their evaluation and rewarding. Coordinating selection processes in the company or in assigned departments. Cooperating with the managers of the company at solving personal questions.",paylab.com
Anesthetist,Medicine Social Care,71646,118184,164722,Administering anesthesia to patients undergoing surgical and medical procedures. Conducting preoperative assessments to evaluate patients' health and suitability for anesthesia. Monitoring patients' vital signs and anesthesia levels during procedures to ensure safety and comfort.,paylab.com
IT auditor,Information Technology,52196,117751,183307,External IT audit Internal IT audit or assistance in implementation of IT controls Testing IT controls as a part of financial audit processes,paylab.com
Hotel manager,Management,48516,117634,186752,"Managing a hotel, a group of hotels Overseeing all departments, plants and resorts Responsibility for preparation and execution of the business plan, the investment and financial plan of the hotel",paylab.com
Product Marketing Manager,Marketing Advertising PR,50819,117522,184226,"Creating business solutions, processes and business models. Processing technical and price proposals. Designing and implementing measures for development.",paylab.com
Chief Accountant,Economy Finance Accountancy,51545,117349,183153,"Complex administration and management of accounting. Processing monthly, quarterly, and annual financial statements. Defining the accounting methods that are used in the company and participation in the creation of internal directives related to accounting.",paylab.com
Art Director,Management,45302,117217,189132,Create creative and visual concepts of advertising campaigns. Cooperating with the creative team on design concepts and finalising them. Communicating with clients throughout the preparatory phase of the concept.,paylab.com
Key Account Manager,Commerce,58966,117195,175425,Building and maintaining business relationships with selected key clients. Identification of potential key clients on the market and their progressive acquisition. Participation in preparing sales plans.,paylab.com
Maintenance Supervisor,Management,43453,117157,190862,"Coordination of work and supervision of supply organizations, physical maintenance on managed devices, including facilities. Checking work safety and technological safety and the use of assigned personal protection working tools at the workplace. Processing plans for repairs and maintenance of different devices and the use of replacement parts.",paylab.com
Database Administrator,Information Technology,59629,116500,173372,Ensuring a reliable and safe operation of database systems. Restoring and carrying out back-ups of databases. Monitoring and editing table areas and optimising databases.,paylab.com
Sales Office Manager,Management,45562,115457,185352,Organising and managing sales in the company. Methodical managing of sales officers. Coordinating sales with other sections of the company.,paylab.com
Database Analyst,Information Technology,56952,114002,171053,Collecting and analysing the requirements concerning the database systems. Designing the architecture and data model of database systems. Providing validation and data protection.,paylab.com
Qualified Mechanical Engineer,Mechanical Engineering,65300,113889,162479,"Reading and interpreting blueprints, technical drawings, schematics, and computer-generated reports. Conferring with engineers and other personnel to implement operating procedures, resolve system malfunctions, and provide technical information. Researching and analyzing customer design proposals, specifications, manuals, and other data to evaluate the feasibility, cost, and maintenance requirements of designs or applications.",paylab.com
E-Commerce Manager,Commerce,57861,113142,168423,"Managing the operation of one or more online stores. Responsibility for meeting the defined business and marketing objectives. Managing, leading, motivating, and evaluating subordinate employees.",paylab.com
Controller,Economy Finance Accountancy,54912,112588,170265,"Auditing of financial information of one or more companies. Monitoring of selected financial indicators (e.g. profitability, liquidity, etc.). Analysing and interpreting variations encountered.",paylab.com
Technical product engineer,Mechanical Engineering,62688,112545,162403,"Collaborating with cross-functional teams to develop and enhance mechanical products. Conducting detailed analysis and simulations to validate product designs and performance. Creating and maintaining technical documentation, including specifications, drawings, and user manuals.",paylab.com
Transport manager,Management,42852,112433,182014,"Responsibility for the smooth operation of the transport department or company. Managing, coordinating, motivating and evaluating subordinate employees. Analysing vehicle utilisation, route planning.",paylab.com
Head of Customer Support,Management,43330,112213,181096,"Responsibility for leading the customer support team Strategy creation, customer support direction and subsequent implementation, Support, team coaching, solving demanding customers",paylab.com
Service Engineer,Electrical Power Engineering,57167,111537,165908,"Mounting, dismantling and powering up machinery and equipment. Providing repairs and maintenance of machinery and equipment. Providing employee trainings on the use of machinery and equipment.",paylab.com
Financial Analyst,Economy Finance Accountancy,48704,111250,173796,"Forecasting, planning, and analysis of revenues, costs, gross profit, and expenses. Preparing the calculations in accordance with inflation. Evaluating the efficiency and financial return on major investments.",paylab.com
Sales Engineer,Commerce,57463,110716,163970,"Establishing new, and maintaining existing, long-term relationships with customers. Providing pre-sales technical assistance and product education. Making technical presentations and demonstrating how a product meets client needs.",paylab.com
Financial Agent,Economy Finance Accountancy,54175,110562,166949,"Completing financial inter-mediation on the basis of a written contract with the financial institution. Presenting offers of representing financial institutions to the clients. Providing free counselling and recommendations concerning insurances, loans, leasing etc.",paylab.com
Automation engineer,Mechanical Engineering,61546,110377,159209,"Design, develop, and implement automation systems and solutions to improve manufacturing processes. Collaborate with cross-functional teams to identify automation needs and requirements. Conduct feasibility studies and cost analysis for automation projects.",paylab.com
Game designer,Information Technology,55826,110163,164501,Designing new compelling game ideas Developing game ideas Experimenting with themes and genres,paylab.com
Facility Manager,Management,61321,109729,158137,"Responsibility for the operation, maintenance and management of buildings, land, equipment and related devices. Completing tenders, searching for potential suppliers. Conducting meetings with suppliers, negotiating terms of contracts.",paylab.com
Auto Repair Shop Manager,Management,43856,109640,175425,"Planning the receipt and organising of the repair processes with respect to the efficient use of personnel, means of production and material. Managing, coordinating and motivating employees. Assigning tasks to employees and monitoring their fulfilment.",paylab.com
Auditor,Economy Finance Accountancy,51394,109561,167728,Verifying financial statements and annual reports of the external clients. Checking for compliance with the legislation and accounting standards. Communicating with accountants or other employees of the company in case of discrepancies.,paylab.com
Product Marketing Manager,Commerce,60274,109207,158141,"Creating business solutions, processes and business models. Processing technical and price proposals. Designing and implementing measures for development.",paylab.com
Medical/Pharmaceutical Sales Representative,Medicine Social Care,65224,108751,152279,Educating clients about products and services. Promoting and presenting the sales program to potential and existing customers. Maintaining and developing relationships with current clients while identifying new customers to expand the sales program.,paylab.com
Electrical Engineer,Electrical Power Engineering,48245,107941,167638,"Specification, design, implementation, and installation of a solution following client defined requirements. Proposal and definition of control system requirements. Definition and configuration of sequential, paired, and discrete circuits.",paylab.com
Dentist,Medicine Social Care,63551,107728,151905,"Examining the teeth and their position, examining dental tissue, gums, dentures, etc. Drilling the openings in tooth tissue depending on the extent of the dental caries found. Filling the drilled openings in teeth with amalgam, composite resin, or porcelain dental fillings.",paylab.com
Civil Engineer,Construction Real Estate,50748,107503,164259,"Completing preparatory, technical, project and other construction and construction-technical documentation for the authorisation of constructions, their alterations, and maintenance work. Completing partial documentation for territorial plans. Completing documentation for the assessment of the impact of construction work on the environment.",paylab.com
Senior Sales Representative,Commerce,58613,107261,155909,Responsibility for a professional presentation and the sale of products to key customers within the entrusted region. Responsibility for increasing the sales of goods and services within the entrusted region. Identifying potential customers on the basis of specified criteria.,paylab.com
Editor-In-Chief,Management,42932,106565,170199,"Responsibility for the content and the visual aspect of newspapers, magazines, websites and other periodicals. Responsibility for the accuracy and completeness of the information published. Managing the editorial team and editorial board.",paylab.com
Building Control Surveyor,Construction Real Estate,46571,106433,166296,"Monitoring the method and process of completing construction projects in accordance with occupational health and safety standards. Responsibility for proper installation and operation of technical equipment on the construction site. Responsibility for professional storage and suitability of construction products, materials, machinery and equipment.",paylab.com
Production Manager,Mechanical Engineering,57386,104995,152604,Oversee and coordinate all production activities to ensure efficient and effective operations. Develop production schedules and workflows to meet customer demands and optimize resource utilization. Monitor production processes and implement improvements to enhance productivity and quality.,paylab.com
PLC Programmer,Electrical Power Engineering,58112,104799,151486,"Developing, simulating, implementing and testing of management programs for PLC devices. Setting up PLC devices in case of production change. Preparing visualisations of the technological process using specialised software.",paylab.com
Systems Administrator,Information Technology,57492,104112,150733,"Installation and administration of computer servers and workstations. Installing, reinstalling and updating licensed software; keeping records on purchased licences. Performing regular system and software audits.",paylab.com
VAT specialist,Economy Finance Accountancy,45393,103219,161045,"Preparation and submission of tax returns Summary statements Analysis, reporting",paylab.com
Accountant,Economy Finance Accountancy,39951,103052,166154,Administering simple and/or double-entry accounting for the company. Securing the proper and timely accounting of all issued invoices. Proper recording of all entrusted accounting records.,paylab.com
Warehouse Manager,Management,31576,103036,174496,"Supervising the receipt and release of material and goods inventories. Recording of the current inventory in the storage system. Checking orders, maintaining the prescribed documentation.",paylab.com
Sales Object Manager,Commerce,53607,102883,152159,Overseeing daily operations of the sales facility to ensure a high level of customer satisfaction. Leading and motivating the sales team to achieve sales targets and improve performance. Developing and implementing sales strategies to maximize revenue and market share.,paylab.com
Medical graduate,Medicine Social Care,50249,102487,154726,Conducting thorough medical assessments and evaluations of patients. Developing and implementing personalized treatment plans based on patient needs and conditions. Collaborating with healthcare professionals to ensure comprehensive patient care.,paylab.com
Data analyst,Economy Finance Accountancy,40829,102314,163800,"Interpret data, analyze results using statistical techniques and provide ongoing reports Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality Acquire data from primary or secondary data sources and maintain databases/data systems",paylab.com
Pharmacist,Medicine Social Care,56608,101856,147104,"Preparing medications according to physician prescriptions. Providing information to patients regarding the purpose and application of medications. Addressing customer inquiries about prescribed medications, including potential side effects and interactions with other drugs or conditions.",paylab.com
Regulatory Affairs Specialist,Medicine Social Care,61333,101849,142366,Preparing documents for product registration by the State Institute for Drug Control (SIDC). Updating the registration database and archiving documentation. Updating and reviewing registration documentation on the basis of comments.,paylab.com
Superintendent,Mechanical Engineering,54359,101571,148784,Overseeing and managing engineering projects from conception to completion. Coordinating with cross-functional teams to ensure project timelines and deliverables are met. Developing and implementing engineering procedures and standards to enhance efficiency and quality.,paylab.com
IT Network Administrator,Information Technology,49281,101304,153328,"Install and support LANs, WANs, network segments, Internet, and intranet systems. Install and maintain network hardware and software. Monitor networks to ensure security and availability to specific users.",paylab.com
Financial Advisor,Economy Finance Accountancy,48008,101145,154282,Executing financial counselling on the basis of a written contract with the client about providing financial counselling. Making personal financial plans. Making contracts of providing financial services in the client's currency.,paylab.com
Automation planner,Mechanical Engineering,56927,100955,144984,Developing and implementing automation strategies to improve production efficiency. Analyzing current manufacturing processes to identify automation opportunities. Collaborating with engineering teams to design and optimize automated systems.,paylab.com
Restaurant manager,Management,39807,100844,161882,"Overseeing daily operations of the restaurant to ensure a high standard of service and guest satisfaction. Managing staff recruitment, training, and performance evaluations to build a competent team. Developing and implementing effective marketing strategies to promote the restaurant and increase customer engagement.",paylab.com
IT System Administrator,Information Technology,57811,100178,142545,Responsibility for managing information systems in the company. Analysing company needs regarding its information systems. Designing and implementing information systems.,paylab.com
